"_unit_id"	"_created_at"	"_id"	"_started_at"	"_tainted"	"_channel"	"_trust"	"_worker_id"	"_country"	"_region"	"_city"	"_ip"	"describe_the_situation_in_arabic"	"image_url"	"category"	"label"
627513423	"12/17/2014 15:19:52"	1504722219	"12/17/2014 15:17:35"	"false"	"neodev"	1	29927414	"EGY"	11	"Cairo"	"197.37.28.194"	"تفاحه فى قاع الطبق"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	1	"fee"
627513423	"12/17/2014 14:39:54"	1504702023	"12/17/2014 14:37:03"	"false"	"neodev"	1	29690962	"EGY"	6	"Alexandria"	"41.129.36.173"	"الثمره فى داخل الطبق"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	1	"fee daakhel"
627513423	"12/17/2014 13:53:23"	1504679013	"12/17/2014 13:47:27"	"false"	"neodev"	1	30514915	"EGY"	6	"Alexandria"	"41.234.233.222"	". طبق عميق به تفاحة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	3	
627513423	"12/17/2014 14:57:19"	1504710745	"12/17/2014 14:52:25"	"false"	"neodev"	1	11007840	"EGY"	3	"Ramsis"	"41.232.0.64"	"إنه طبق من الفاكهة يحتوي على تفاحه ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	3	
627513423	"12/17/2014 13:19:44"	1504661026	"12/17/2014 13:18:13"	"false"	"neodev"	1	30307493	"EGY"	12	"Banha"	"41.232.56.255"	"اناء به تفاحة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	3	
627513423	"12/17/2014 15:13:36"	1504718989	"12/17/2014 15:04:54"	"false"	"neodev"	1	30667945	"EGY"	11	"Cairo"	"41.42.149.226"	"تفاحة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	5	
627513423	"12/17/2014 14:48:21"	1504706324	"12/17/2014 14:42:17"	"false"	"clixsense"	1	6342275	"EGY"	11	"Cairo"	"41.199.144.160"	"سلطانية مرسوم عليها تفاحة صغيرة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	5	
627513423	"12/17/2014 13:50:43"	1504677587	"12/17/2014 13:41:44"	"false"	"neodev"	1	21386903	"EGY"	8	"Gîza"	"41.45.126.128"	"صورة تفاحة صفراء اللون مرسومة على فنجان"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	5	
627513423	"12/17/2014 13:51:36"	1504678041	"12/17/2014 13:49:54"	"false"	"neodev"	1	29111128	"EGY"	6	"Alexandria"	"197.38.110.40"	"كباية بها شئ مثل الخاتم"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/02.pdf.jpg"	6	
627513424	"12/17/2014 13:38:13"	1504670948	"12/17/2014 13:27:30"	"false"	"neodev"	1	30514915	"EGY"	6	"Alexandria"	"41.234.233.222"	". ظزف عليه طابع بريد"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 14:31:26"	1504697798	"12/17/2014 14:27:00"	"false"	"neodev"	1	29690962	"EGY"	6	"Alexandria"	"41.129.36.173"	"الطابع  يوجد أعلى يمين الورقة ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 14:19:33"	1504691825	"12/17/2014 14:10:20"	"false"	"neodev"	1	28096293	"EGY"	11	"Cairo"	"105.40.249.42"	"بطاقة معايدة و عليها طابع بريد"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:25:14"	1504664071	"12/17/2014 13:15:16"	"false"	"neodev"	1	30500961	"EGY"			"197.160.119.76"	"تم لصق طابع البريد على الرسالة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:14:38"	1504658479	"12/17/2014 13:12:49"	"false"	"neodev"	1	30307493	"EGY"	12	"Banha"	"41.232.56.255"	"جواب بريدى و عليه طابع بريد"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:44:48"	1504674459	"12/17/2014 13:39:39"	"false"	"neodev"	1	28633898	"EGY"	11	"Cairo"	"197.162.119.52"	"جواب ملصق عليه طابع"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 15:13:55"	1504719119	"12/17/2014 15:07:23"	"false"	"neodev"	1	29927414	"EGY"	11	"Cairo"	"197.37.28.194"	"جواب وعليه ختم"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:24:17"	1504663505	"12/17/2014 13:16:46"	"false"	"neodev"	1	21386903	"EGY"	8	"Gîza"	"41.45.126.128"	"طابع بريد أصفر على الجانب العلوي الأيمن لظرف خطاب"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:04:15"	1504653668	"12/17/2014 12:59:27"	"false"	"clixsense"	1	26269850	"EGY"			"41.176.104.206"	"طابع بريد على رسالة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 15:04:54"	1504714471	"12/17/2014 14:58:24"	"false"	"tremorgames"	1	29295894	"EGY"	17	"Assiut"	"197.32.39.231"	"طابع بريد ملصق على مظروف بريد."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:46:50"	1504675547	"12/17/2014 13:44:42"	"false"	"neodev"	1	29111128	"EGY"	6	"Alexandria"	"197.38.110.40"	"ظرف ابيض عليه كلام غير مفهوم وختم"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 14:32:21"	1504698259	"12/17/2014 14:25:41"	"false"	"clixsense"	1	6342275	"EGY"	11	"Cairo"	"41.199.144.160"	"مظروف بريدى عليه طابع بريد"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	1	"eelaa"
627513424	"12/17/2014 13:43:29"	1504673887	"12/17/2014 13:39:12"	"false"	"clixsense"	1	29857394	"EGY"	11	"Cairo"	"197.162.119.52"	"جواب ملصق به طابع بريد"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	3	
627513424	"12/17/2014 14:53:49"	1504708856	"12/17/2014 14:43:56"	"false"	"neodev"	1	30667945	"EGY"	11	"Cairo"	"41.42.149.226"	"طابع بريدي"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	5	
627513424	"12/17/2014 14:43:59"	1504704245	"12/17/2014 14:41:21"	"false"	"neodev"	1	11007840	"EGY"	3	"Ramsis"	"41.232.0.64"	"هذا ظرف ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/03.pdf.jpg"	5	
627513425	"12/17/2014 13:53:23"	1504679009	"12/17/2014 13:47:27"	"false"	"neodev"	1	30514915	"EGY"	6	"Alexandria"	"41.234.233.222"	". شمعة عليها شريط من القماش"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	1	"eelaa"
